Distance_(µm),Gray_Value
588.900024414,23.513202667
589.549987793,24.055051804
590.200012207,24.236740112
590.849975586,24.406824112
591.500000000,24.603872299
592.150024414,24.892597198
592.799987793,25.301967621
593.450012207,26.213130951
594.099975586,27.023529053
594.750000000,27.651363373
595.400024414,28.281208038
596.049987793,28.919658661
596.700012207,29.169025421
597.349975586,29.277294159
598.000000000,29.531681061
598.650024414,29.563890457
599.299987793,29.650726318
599.950012207,30.000968933
600.599975586,29.899356842
601.250000000,29.599857330
601.900024414,29.327999115
602.549987793,28.960565567
603.200012207,28.379384995
603.849975586,27.822151184
604.500000000,27.434785843
605.150024414,27.334157944
605.799987793,27.141071320
606.450012207,27.128622055
607.099975586,27.113914490
607.750000000,26.579938889
608.400024414,25.742616653
609.049987793,25.202188492
609.700012207,24.924299240
610.349975586,24.670173645
611.000000000,24.265110016
611.650024414,23.875669479
612.299987793,23.620700836
612.950012207,23.536844254
613.599975586,23.796451569
614.250000000,23.835958481
614.900024414,23.788963318
615.549987793,24.083923340
616.200012207,24.579071045
616.849975586,24.795484543
617.500000000,24.880519867
618.150024414,25.146486282
618.799987793,25.255245209
619.450012207,25.597450256
620.099975586,26.048984528
620.750000000,26.208618164
621.400024414,26.427907944
622.049987793,26.857358932
622.700012207,27.035037994
623.349975586,27.162309647
624.000000000,27.485269547
624.650024414,27.980886459
625.299987793,28.148923874
625.950012207,28.105726242
626.599975586,28.124235153
627.250000000,28.241617203
627.900024414,28.305185318
628.549987793,28.503038406
629.200012207,28.914241791
629.849975586,29.124420166
630.500000000,29.256011963
631.150024414,29.536560059
631.799987793,29.553640366
632.450012207,29.626476288
633.099975586,30.163017273
633.750000000,30.894332886
634.400024414,31.108736038
635.049987793,31.141078949
635.700012207,31.477663040
636.349975586,31.953376770
637.000000000,32.406444550
637.650024414,32.397922516
638.299987793,32.562362671
638.950012207,32.598381042
639.599975586,32.753833771
640.250000000,32.618167877
640.900024414,31.918432236
641.549987793,30.924322128
642.200012207,30.443325043
642.849975586,30.191764832
643.500000000,30.053316116
644.150024414,29.399421692
644.799987793,28.433240891
645.450012207,27.627470016
646.099975586,27.208070755
646.750000000,26.701000214
647.400024414,26.390415192
648.049987793,26.107610703
648.700012207,25.898302078
649.349975586,25.913770676
650.000000000,25.688999176
650.650024414,25.290550232
651.299987793,24.911994934
651.950012207,24.659765244
652.599975586,24.472908020
653.250000000,24.631738663
653.900024414,24.820077896
654.549987793,25.106111526
655.200012207,25.568470001
655.849975586,25.834564209
656.500000000,25.947267532
657.150024414,25.938911438
657.799987793,25.734218597
658.450012207,25.315790176
659.099975586,24.821096420
659.750000000,24.411830902
660.400024414,24.063858032
661.049987793,23.722732544
661.700012207,23.245683670
662.349975586,22.630899429
663.000000000,22.130552292
663.650024414,21.610603333
664.299987793,21.169939041
664.950012207,20.860330582
665.599975586,20.654153824
666.250000000,20.583271027
666.900024414,20.172386169
667.549987793,19.656501770
668.200012207,19.386735916
668.849975586,19.071489334
669.500000000,18.932783127
670.150024414,18.935493469
670.799987793,18.925439835
671.450012207,18.720960617
672.099975586,18.489311218
672.750000000,18.370027542
673.400024414,18.171367645
674.049987793,17.850275040
674.700012207,17.638486862
675.349975586,17.310243607
676.000000000,17.052659988
676.650024414,16.988525391
677.299987793,17.024513245
677.950012207,16.997821808
678.599975586,16.821947098
679.250000000,16.422384262
679.900024414,16.145704269
680.549987793,16.237667084
681.200012207,16.337369919
681.849975586,16.433916092
682.500000000,16.475444794
683.150024414,16.747758865
683.799987793,16.961580276
684.450012207,17.018852234
685.099975586,17.165649414
685.750000000,17.140691757
686.400024414,17.100164413
687.049987793,17.211593628
687.700012207,17.419532776
688.349975586,17.607309341
689.000000000,17.935356140
689.650024414,18.304286957
690.299987793,18.598279953
690.950012207,18.854497910
691.599975586,19.225376129
692.250000000,19.537050247
692.900024414,20.060495377
693.549987793,20.705842972
694.200012207,21.257297516
694.849975586,21.719053268
695.500000000,22.212614059
696.150024414,22.590679169
696.799987793,23.077827454
697.450012207,23.497568130
698.099975586,23.744615555
698.750000000,24.116106033
699.400024414,24.455730438
700.049987793,24.957105637
700.700012207,25.455432892
701.349975586,25.880998611
702.000000000,26.535713196
702.650024414,27.130128860
703.299987793,27.171873093
703.950012207,27.004947662
704.599975586,27.150184631
705.250000000,27.396364212
705.900024414,27.428466797
706.549987793,27.411283493
707.200012207,27.369546890
707.849975586,27.222208023
708.500000000,26.967678070
709.150024414,26.876256943
709.799987793,26.541313171
710.450012207,25.850500107
711.099975586,25.097812653
711.750000000,24.680494308
712.400024414,24.325426102
713.049987793,23.956691742
713.700012207,23.739452362
714.349975586,23.776506424
715.000000000,24.091531754
715.650024414,24.427383423
716.299987793,24.780002594
716.950012207,25.098976135
